,City Name,Package,Variety,Origin,Item Size,Color
2,BALTIMORE,24 inch bins,HOWDEN TYPE,DELAWARE,med,ORANGE
3,BALTIMORE,24 inch bins,HOWDEN TYPE,VIRGINIA,med,ORANGE
4,BALTIMORE,24 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
5,BALTIMORE,24 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
6,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
7,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
8,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
9,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
10,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
11,BALTIMORE,36 inch bins,HOWDEN TYPE,PENNSYLVANIA,lge,ORANGE
12,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
13,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
14,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
15,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
16,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
17,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
18,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,sml,ORANGE
19,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,xlge,ORANGE
20,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
21,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med,ORANGE
22,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
23,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med-lge,ORANGE
24,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,med-lge,ORANGE
25,BALTIMORE,36 inch bins,HOWDEN TYPE,MARYLAND,lge,ORANGE
